id,person,noc,game
30843,22519,10,20
97240,70247,0,19
32975,24052,29,12
83069,60148,70,49
180588,129985,43,26
181840,130908,94,43
172075,123817,2,2
8657,6420,3,13
47775,34678,10,35
10646,7876,12,11
8333,6189,48,1
6636,4919,14,35
111036,80130,70,14
149897,108003,185,20
64015,46379,4,18
186983,134544,29,1
8742,6483,116,12
115643,83531,18,15
8822,6544,3,7
88592,64027,27,42
89762,64855,3,11
165002,118780,8,14
7707,5715,184,25
175277,126166,2,10
35023,25532,170,11
59382,42988,4,28
43562,31654,130,6
166824,120064,50,34
164677,118560,2,38
174461,125564,87,38
54994,39786,8,3
79998,57979,70,27
87992,63584,94,0
107773,77818,72,29
96010,69374,90,21
167682,120661,77,28
154826,111541,2,14
37542,27337,8,2
173861,125132,8,34
22260,16209,86,12
53247,38518,109,28
42839,31118,41,26
134833,97192,38,19
113777,82166,73,36
74091,53618,50,34
144275,103973,41,18
171793,123608,217,1
57178,41385,26,0
162764,117183,101,21
162854,117245,70,25
68139,49348,3,1
145377,104758,3,41
12385,9111,37,26
32508,23722,87,32
15465,11344,74,35
111773,80689,20,27
132246,95366,14,0
6017,4472,29,36
174424,125537,87,25
94664,68409,162,26
102529,74038,86,8
97254,70258,0,8
127714,92173,26,26
157665,113647,13,9
37411,27247,22,21
97809,70631,41,31
126725,91466,94,21
99642,71960,27,9
126695,91445,3,44
86046,62247,75,36
30388,22184,6,19
37000,26954,18,1
41470,30118,2,33
86006,62225,86,1
65014,47100,136,21
93459,67537,147,37
104273,75269,26,1
150580,108518,34,16
73597,53269,79,12
109753,79229,54,20
167936,120832,8,28
170245,122497,74,28
27567,20110,0,1
33448,24403,163,1
3463,2595,6,20
56043,40544,56,16
135908,97972,167,12
159039,114601,3,25
127800,92236,4,0
185310,133396,18,8
101467,73294,4,33
104118,75167,3,41
139088,100244,27,35
3700,2770,94,36
156362,112692,94,37
27874,20331,148,0
14026,10302,40,7
69200,50127,82,20
77989,56522,70,10
179132,128933,74,35
34879,25423,101,25
54231,39218,50,26
164666,118550,43,28
130295,93993,179,20
39051,28419,72,21
154041,111006,87,0
101966,73634,10,25
148775,107203,118,34
68756,49798,79,34
114446,82661,72,18
68723,49771,3,13
93593,67632,147,0
18792,13763,79,13
43873,31888,11,1
50910,36862,79,18
158350,114116,72,28
49982,36227,79,5
155000,111674,200,37
90995,65733,56,32
54403,39354,41,9
27415,20003,19,16
94814,68516,14,9
139277,100390,130,7
72166,52246,27,35
124073,89562,8,19
153105,110339,147,0
18625,13650,18,19
104689,75570,99,0
178429,128451,41,2
164904,118713,14,33
137249,98924,40,0
20114,14702,6,26
78441,56854,18,17
105877,76434,130,0
139951,100869,43,19
44832,32581,3,35
103052,74405,14,34
183401,132047,202,26
97570,70462,202,28
85274,61704,74,4
41621,30230,18,6
109697,79188,21,20
62239,45058,40,29
174253,125412,56,7
151711,109352,77,25
185619,133618,22,2
45536,33074,22,33
127946,92340,14,32
135731,97857,6,0
186198,134009,0,0
3771,2823,3,44
137316,98970,3,1
186459,134196,2,0
130381,94054,14,29
132228,95354,72,37
17691,12980,29,1
110961,80077,22,1
4017,3001,14,40
56998,41259,165,25
54087,39116,24,20
143705,103541,3,19
120279,86825,4,22
4346,3251,14,25
34909,25446,8,12
25002,18205,1,7
7994,5928,8,39
162041,116678,6,39
60708,43957,79,13
130419,94083,69,0
58317,42210,10,12
47166,34256,29,26
138317,99708,87,34
3442,2580,19,28
60245,43608,104,0
82255,59581,147,21
100857,72853,1,21
126615,91385,18,6
10295,7620,112,21
103163,74487,9,20
137745,99299,130,17
132897,95819,43,11
174448,125554,40,20
128498,92730,3,16
172225,123930,2,20
70197,50828,117,2
185637,133631,130,18
149443,107681,10,35
119361,86172,147,18
13608,9994,79,13
79479,57602,24,12
132736,95693,40,19
163107,117422,11,20
151226,108987,87,1
138087,99532,75,27
154354,111222,4,45
72681,52619,6,26
89790,64871,29,11
51606,37369,40,37
63061,45673,50,26
80447,58302,3,9
77919,56462,8,1
22292,16235,6,1
55649,40266,3,24
70204,50834,3,21
65656,47565,102,20
114144,82440,87,12
60222,43598,8,2
106260,76692,94,36
158983,114560,5,41
23417,17052,44,33
146455,105541,3,25
83972,60785,74,4
138147,99577,44,20
115812,83655,2,20
122947,88744,101,19
51530,37312,72,0
95082,68723,40,9
108583,78408,26,28
115040,83101,87,13
182501,131378,22,19
9295,6893,8,15
178235,128304,50,12
31971,23329,110,12
111021,80119,70,6
81183,58814,18,12
106590,76953,43,11
106102,76588,43,25
171176,123158,130,21
58027,42006,87,34
72358,52389,34,11
28475,20773,105,33
47560,34538,87,46
99986,72213,43,12
42328,30749,117,42
182895,131673,0,21
52493,37996,3,41
119118,85993,40,31
94820,68520,160,24
13016,9568,31,21
138758,100019,79,39
32399,23645,43,18
136701,98532,27,33
139658,100668,25,11
121570,87741,147,19
108913,78624,74,28
81781,59241,13,0
117912,85128,72,28
129078,93150,7,12
97069,70128,87,13
114199,82481,130,6
130723,94298,2,34
41436,30091,50,47
148533,107027,40,23
14814,10866,14,15
166008,119492,79,14
90859,65629,4,22
63343,45877,87,32
114127,82427,41,1
156781,113010,3,21
125611,90667,14,14
172156,123878,3,26
100638,72694,87,1
66668,48310,4,8
2802,2112,61,20
103456,74686,22,40
159580,114971,14,16
42047,30541,44,9
96174,69489,87,27
79765,57804,29,3
99536,71880,5,47
178105,128204,42,27
80164,58100,43,28
184507,132833,18,13
74471,53881,94,38
106219,76670,18,11
11870,8748,1,20
98380,71044,103,25
39263,28570,204,17
111135,80210,29,0
14396,10560,86,1
76638,55494,8,15
179983,129551,40,11
66651,48296,2,11
106122,76602,41,14
108120,78070,73,9
160527,115625,0,1
24087,17538,10,35
118529,85583,40,21
131833,95077,117,35
96725,69881,79,13
125315,90452,22,28
36285,26425,2,26
23997,17469,64,26
51128,37019,40,29
150116,108164,14,39
74162,53667,8,43
84553,61191,117,29
131332,94718,56,14
117496,84835,18,13
165966,119461,8,46
144763,104321,14,33
82057,59434,45,20
185734,133693,0,0
160164,115384,40,9
180823,130159,87,0
75040,54302,147,0
109739,79217,54,21
27388,19976,145,25
99287,71706,8,3
105831,76396,75,27
123865,89421,70,25
88979,64291,172,20
61980,44878,3,26
171974,123737,2,25
84987,61489,75,4
90782,65576,18,1
34531,25180,1,13
15199,11152,163,20
62183,45019,147,1
155213,111827,2,34
33429,24389,145,25
71663,51896,104,36
111565,80533,39,20
27295,19901,41,28
112127,80944,8,14
143911,103709,10,27
173183,124656,20,35
32980,24055,29,29
20591,15036,8,33
153801,110841,132,0
3118,2357,159,20
51768,37491,40,33
151513,109196,3,2
160458,115585,70,0
37399,27242,122,28
311,230,11,20
144309,103998,70,10
26983,19667,56,29
74403,53828,3,21
53687,38833,94,31
73913,53499,72,38
87012,62922,94,11
97614,70496,27,28
174492,125585,8,35
62791,45477,41,5
58497,42348,191,4
142227,102512,43,25
164512,118440,20,12
83624,60539,84,1
187089,134617,132,12
136132,98137,40,45
14976,10983,27,10
112897,81512,20,0
117964,85167,195,25
1690,1261,19,11
141190,101753,106,20
175130,126061,5,2
28171,20544,41,25
135364,97588,13,26
23536,17148,8,27
59996,43434,72,23
103582,74771,13,11
15066,11049,74,27
36446,26542,65,32
40553,29459,185,27
62398,45177,29,36
124611,89953,29,35
173855,125128,26,11
163331,117578,64,34
104788,75636,84,1
43720,31778,30,12
93628,67660,147,21
23876,17387,106,33
126917,91612,3,20
1629,1216,14,19
167742,120707,29,19
167875,120790,120,6
84817,61370,70,27
39118,28471,87,21
82042,59423,74,35
22668,16503,43,11
142662,102815,106,20
32151,23466,14,25
55250,39980,14,37
179604,129273,125,5
87491,63230,21,19
170306,122542,27,35
68303,49463,3,25
184897,133093,22,40
27190,19828,72,26
65880,47718,117,29
24957,18169,8,27
73152,52957,41,26
77050,55799,25,26
184280,132672,27,28
49530,35911,144,26
9770,7242,22,8
52293,37861,97,12
138111,99550,117,10
162300,116859,29,0
51814,37517,40,1
26515,19328,169,20
126358,91203,2,28
144661,104264,4,18
79127,57359,143,19
9647,7154,117,42
120277,86824,2,1
46412,33701,110,26
161124,116045,98,11
59161,42835,87,28
131092,94553,8,9
138157,99585,3,25
100409,72523,102,16
133012,95900,40,20
83256,60283,3,21
113773,82163,3,17
109759,79232,21,12
23547,17156,14,11
